POBLACION,PAIS,LOCALIZACION,ANCESTRIA
BIAKA ,CONGO,AFRICA ,"38,79"
MBUTI,CONGO,AFRICA ,"38,79"
LISONGO,CONGO,AFRICA ,"38,79"
YRI,NIGERIA,AFRICA ,"38,79"
YORUBA,NIGERIA,AFRICA ,"38,79"
IBO,NIGERIA,AFRICA ,"38,79"
ZARAMO,TANZANIA,AFRICA ,"38,79"
HAUSA,CAMERUN,AFRICA ,"38,79"
MASAI,TANZANIA,AFRICA ,"38,79"
LWK,KENYA,AFRICA ,"38,79"
CHAGGA,TANZANIA,AFRICA ,"38,79"
SANDAWE,TANZANIA,AFRICA ,"38,79"
SOMALIES,SOMALIA,AFRICA ,"38,79"
ETIOPE,ETIOPIA,AFRICA ,"38,79"
SAMARITANOS,ISRALE PALESTINA,MEDIO ORIENTE,"20,57"
YEMENITES,YEMEN,MEDIO ORIENTE,"20,57"
PALESTINOS,PALESTINA,MEDIO ORIENTE,"20,57"
DRUSOS,"SIRIA, LIBANO",MEDIO ORIENTE,"20,57"
JUDIOS ROMANOS,ROMA,EUROPA,"16,93"
ASHKENASI,"ALEMANIA, HUNGRIA, POLONIA, RUSIA",EUROPA,"16,93"
TSI,ITALIA,EUROPA,"16,93"
IBS,IBERICO,EURIOPA,"16,93"
SARDINIANS,SERDEÑA,EUROPA,"16,93"
ADYGEI,SIBERIA RUSIA,EUROPA,"16,93"
GRIEGOS,GRECIA,EUROPA,"16,93"
UNGAROS,UNGRIA,EUROPA,"16,93"
CHUVASH,RUSIA UCRANIA,EUROPA,"16,93"
IRLANDESES,IRLANDA,EUROPA,"16,93"
CEU,EUROPA OCIDENTAL,EUROPA,"16,93"
RUSIAN A,RUSIA ,EUROPA,"16,93"
RUSIAN B,RUSIA,EUROPA,"16,93"
FIN ,"NORUEGA, SUECIA",EUROPA,"16,93"
FINNS,NORUIEGA SUECIA,EUROPA,"16,93"
GRB,INGLATERRA ESCOCIA,EUROPA,"16,93"
DANES,DINAMARCA,EUROPA,"16,93"
KOMIZYRIANES,RUSIA,EUROPA,"16,93"
KHANTY,RUSIA UCRANIA,EUROPA,"16,93"
YAKUT,REPUBLICA CHECA,EUROPA,"16,93"
NMAKRANI,INDIA PAKSITAN,ASIA,"19,83"
KUWAITI,KUWAIT,ASIA,"19,83"
KERALA,MALAYA,ASIA,"19,83"
THOTI,SOR ESTE DE INDIA,ASIA,"19,83"
KACHARI,TIBET,ASIA,"19,83"
PHATANS,AFGANISTAN PAKISTAN,ASIA,"19,83"
MOHANNAS,SUR ASIA,ASIA,"19,83"
HAZARA,PERCIA AFGANISTAN,ASIA,"19,83"
CHB,HAN CHINOS BEHIJIN,ASIA,"19,83"
CHS,SUR DE HAN CHINA,ASIA,"19,83"
HAKKAS,CHINA,ASIA,"19,83"
KOREANS,KOREA,ASIA,"19,83"
JPT,TOKIO JAPON,ASIA,"19,83"
JAPONESES,JAPON,ASIA,"19,83"
LAOTIANS,TAHILANDIA,ASIA,"19,83"
CAMBOYANOS,CAMBOYA,ASIA,"19,83"
AMI,TAIWAN,ASIA,"19,83"
ATAYAL,CHINA,ASIA,"19,83"
PN GUINEOS,GUINEA,ASIA,"19,83"
NASIOI,MALASIA,ASIA,"19,83"
MALASIOS,MALASIA,ASIA,"19,83"
MICRONESIOS,AUSTRALIA,OCEANIA,"2,19"
SAMOANS,POILINESIAM NEVA ZELANDA,OCEANIA,"2,19"
SF CHINISSE,CHINOS AMERICANOS,AMERICA,"1,68"
TW CHINISSE,IMIGRANTES CHINOS,AMERICA,"1,68"
PIMA MX,NATIVOS AMERICANOS,AMERICA,"1,68"
MAYA,"MEXICO, GAUTEMALA",AMERICA,"1,68"
QUECHUA,"PERU, ECUADOR, COLOMBIA, BOLIVIA, ARGENTINA",AMERICA,"1,68"
GUIHIBA,AMERICA,AMERICA,"1,68"
TUCUNAS,"BARSIL, COLOMBIA, PERU",AMERICA,"1,68"
RS URUI,MESTIZOS URUGUAY ARGENTINA,AMERICA,"1,68"
KARITIANA,BRAZIL,AMERICA,"1,68"
ASW ,AFRO,AMERICA,"1,68"
AFRAMER,AFRO,AMERICA,"1,68"
EURO AMERICANOS,EUROPEOS AMERICANOS,AMERICA,"1,68"
